Category,Section/Topic,Requirement or Standard,Compliance/Ready Standard,Approved Wording or Legal Source,Responsible Party (Inferred),Source
Regulations/Sanitation,Water Conservation,Replace showerheads exceeding 1.8 gallons per minute and water closets exceeding 1.28 gallons per flush.,Comply with SF Plumbing Code Section 402.2 and CA Energy Commission standards.,Sec. 12A10(a)-(c),Property Owner,24
Regulations/Maintenance,Caretaker & Security,Resident caretaker required for apartment houses with 16+ units or hotels with 12+ rooms; 135-degree door viewers required.,Caretaker must reside on premises; viewers mounted at 58 inches or less.,Sec. 1311; Sec. 706(a)(3)(vi),Property Owner,24
Financial/Fees,Healthy Housing Fee,"Annual program fee for buildings with 3 or more rental units (e.g., 3 units is 25, over 30 units is 103).",3-unit buildings are exempt if owner-occupied; late penalty of 10 after 30 days; 30 after 60 days.,SF Health Code Sec. 609,Property Owner,"32, 1, 2, 3, 4, 20, 33, 34, 35, 36"
Financial/Fees,Reinspection Fees,Owners shall pay a fee for reinspections to verify correction of violations (FY24-25: 167 per hour; FY26-27: 437 per hour).,Payment within 30 days or face a 40 late penalty; interest accrues at 1.5% per month.,SF Health Code Sec. 609.1,Property Owner,"1, 2, 3, 4, 20, 33"
Enforcement/Penalties,Violation Penalties,"Violation of fire, heat, or hot water is a misdemeanor; fines for code violations range from 100 to 1000 per day.",Criminal misdemeanor or administrative penalties assessed based on non-compliance with Notice of Violation.,Sec. 204; Sec. 591; Sec. 608,Property Owner,"24, 1, 2, 3, 4, 18, 19, 20, 15, 37"
Legal/Notification,Pesticide Notification,Written notice must be provided to owners and tenants before pesticide application.,"Must include ""CAUTION"" text, active ingredients, and Poison Control number; 48-hour notice for fumigation.",CA Business & Prof. Code Sec. 8538,Pest Control Operator,"5, 6, 7, 8, 9, 10, 11, 13, 17"
Legal/Notification,Notice of Violation (NOV),"Served within 15 days of determination; must include violations, deadline, and penalty info.",General violations must be corrected within 30 days; sewage hazards within 48-72 hours.,SF Building Code Sec. 102A.4,HHVC Staff/Building Official,"20, 38, 39, 37"
Operational/Readiness,72-Hour Tenant Notice,Tenants must notify landlord in writing and allow 72 hours for a response before reporting to 311.,A tenant understands what to do before reporting and when to use 311.,Approved 72-hour wording,Tenant,"20, 34, 40, 41, 42, 43, 44"
Publication Readiness,Writing Standards,All public-facing content must be written at an 8th-grade reading level or lower (Grade 5-6 for instructions).,"Use plain language; replace ""shall"" with ""must""; use ""rats or mice"" instead of ""rodents"" in titles.",HHVC Web Governance Ch. 7,Editor,"32, 12, 45, 46, 34, 47, 21, 38, 40, 41, 48, 49, 50, 51, 52, 29"
Web Standards,Accessibility & WCAG,All digital content must comply with WCAG 2.1 Level AA and ADA Title II.,HTML-first design; sequential header hierarchy (H1-H2-H3); minimum 4.5:1 color contrast; descriptive link text.,28 CFR Part 35; Section 508,Web Developer/Editor,"45, 46, 53, 54, 48, 49, 50, 51, 52, 55"
Web Standards,Page Type Governance,"Every page must use an approved Karl CMS type: Topic, Transaction, Information, Step-by-step, About, or Resource.","No mixed-task pages (e.g., Information + Transaction); no placeholder/under-construction pages.",Governance Rule 4.4,Editor,"56, 57, 58, 59, 60, 61, 62, 63, 49, 64"
Web Standards,SEO & Metadata,Meta Title under 60 chars; Meta Description between 120 and 160 chars (starting with active verb).,The meta description must be under 110 characters for specific transaction blueprints.,HHVC Web Governance Ch. 7.7,Editor,"34, 41, 48, 52"
Web Standards,Navigation & Structure,The Three-Click Rule: users must reach any page from the parent hub in 3 clicks or fewer.,Standard top-to-bottom layout; no custom column grids; include a Table of Contents.,HHVC IA Standards Sec. 3.5,Editor,"45, 62, 63, 64, 65, 66"
Article 11 - Nuisances,Sec. 580 - Definitions,"Defines key terms used throughout Article 11, including City, Department, Director, Manager, Owner, Person, and Responsible Party.",No action needed; terms are used to interpret responsibilities elsewhere in the Article.,SF Health Code Sec. 580,N/A (Definitional),67
Article 11 - Nuisances,Sec. 581 - Prohibited Public Health Nuisances,"Prohibits public nuisances such as filth, pest infestations, mold, spoiled food, lead hazards, and poison oak/ivy on any property.",Premises must be kept free of all 18 listed nuisance conditions at all times.,SF Health Code Sec. 581,Owner/Manager/Responsible Party,67
Article 11 - Nuisances,"Sec. 585 - Enforcement, Spoiled Food","Authorizes the Department to seize, condemn, and destroy spoiled or contaminated food and drink that pose a nuisance.",Owners must allow seizure and destruction of unsafe food once identified by the Department.,SF Health Code Sec. 585,Department/Owner,67
Article 11 - Nuisances,"Sec. 590 - Discharge of Soot, Smoke, etc.","Bans dense smoke, soot, ash, or fume discharges from furnaces and flues in residential or commercial districts, with limited exceptions.",Emissions must stay below the Ringelmann Chart Diagram No. 3 density and equipment must be properly maintained.,SF Health Code Sec. 590,Owner/Operator,67
Article 11 - Nuisances,Sec. 591 - Penalty,Sets a fine of up to $50 and/or five days in jail for violating the smoke and soot restrictions in Section 590.,N/A - Penalty provision only.,SF Health Code Sec. 591,N/A,67
Article 11 - Nuisances,Sec. 594 - Certificate of Sanitation Required,Requires every hotel operator to obtain and annually renew a Certificate of Sanitation from the Department.,Certificate must be renewed yearly following a satisfactory reinspection; it is non-transferable upon sale or transfer.,SF Health Code Sec. 594,Hotel Owner/Operator,67
Article 11 - Nuisances,Sec. 594.1 - Hotel Defined,"Defines ""hotel"" as any building with six or more guest rooms rented out for sleeping purposes.",N/A - Definitional provision.,SF Health Code Sec. 594.1,N/A,67
Article 11 - Nuisances,Sec. 594.2 - Violation a Misdemeanor,"Makes failure to hold a valid Certificate of Sanitation a misdemeanor, with each day counted as a separate offense.","N/A - Penalty provision; up to one year jail or $1,000 fine per violation.",SF Health Code Sec. 594.2,N/A,67
Article 11 - Nuisances,Sec. 595 - Inspection of Premises,Requires the Department to inspect hotel premises for nuisances and sanitary conditions before issuing a sanitation certificate.,Owner must permit inspection of the premises prior to certificate issuance.,SF Health Code Sec. 595,Department/Owner,67
Article 11 - Nuisances,Sec. 596 - Administrative Procedures Initiated with Notice of Violation,"Establishes the complaint, inspection, Notice of Violation, Order to Vacate, hearing, and Director's Order process used to abate nuisances.","Responsible Parties must generally correct a cited nuisance within 30 days of a Notice of Violation, absent an extension.",SF Health Code Sec. 596,Director/Owner/Manager/Responsible Party,67
Article 11 - Nuisances,Sec. 596.5 - Citations Under Admin Code Chapter 100,Allows the Director to issue administrative citations as an alternative enforcement path under Administrative Code Chapter 100.,Responsible Party must correct the violation within the time stated in the written notice.,SF Health Code Sec. 596.5,Director/Responsible Party,67
Article 11 - Nuisances,Sec. 597 - Notice to Police Department,Directs the Director to notify the Chief of Police so officers can assist in enforcing vacation orders.,N/A - Interagency coordination provision.,SF Health Code Sec. 597,Director/Police Department,67
Article 11 - Nuisances,Sec. 598 - Penalty for Resisting Order to Vacate,Makes it a misdemeanor to forcibly resist or prevent enforcement of a vacate order.,"N/A - Penalty provision; fine of $100-$1,000 and/or up to three months jail.",SF Health Code Sec. 598,Owner/Occupant,67
Article 11 - Nuisances,Sec. 599 - Collection,"Sets out the lien, special assessment, and cost-recovery procedures the City uses to collect unpaid abatement costs from owners.",Owner must reimburse the Department's abatement costs or risk a property lien or special assessment.,SF Health Code Sec. 599,Owner/Director,67
Article 11 - Nuisances,Sec. 600 - Penalties,"Establishes criminal, civil, and administrative penalties, up to $1,000 per violation per day, for violating Article 11's nuisance provisions.",Violations must be corrected within the notice period to avoid accruing penalties.,SF Health Code Sec. 600,Owner/Responsible Party,67
Article 11 - Nuisances,"Sec. 605 - Poison Ivy and Poison Oak, Removal on Notice",Requires owners to remove poison oak or poison ivy growth on their property when ordered by the Director.,Poisonous growth must be removed and destroyed as directed by the Director.,SF Health Code Sec. 605,Owner,67
Article 11 - Nuisances,Sec. 606 - [Repealed],This section was repealed and no longer imposes any requirement.,N/A,SF Health Code Sec. 606,N/A,67
Article 11 - Nuisances,Sec. 607 - Enforcement,Charges the Department with enforcing the poison oak and poison ivy removal requirement in Section 605.,N/A - Enforcement authority provision.,SF Health Code Sec. 607,Department,67
Article 11 - Nuisances,Sec. 608 - Penalty,"Sets a misdemeanor penalty of up to $1,000 and/or 15 or more days in jail for failing to remove poisonous growth.",N/A - Penalty provision only.,SF Health Code Sec. 608,N/A,67
Article 11 - Nuisances,Sec. 609 - Vector Control and Healthy Housing Inspection Program Fee,"Requires apartment house and hotel owners to pay an annual fee, based on unit count, funding vector-control and healthy-housing inspections.","Annual fee ranges from $25 (3 units) to $103 (30+ units) for apartments, and $151-$582 for hotels; late payment adds penalties.",SF Health Code Sec. 609,Owner,67
Article 11 - Nuisances,Sec. 609.1 - Reinspection Fee Authorized,"Authorizes hourly reinspection fees, $167/hr for an inspector and $150/hr for a technician, for follow-up inspections verifying correction.",Owner must pay the reinspection fee within 30 days or incur a $40 late penalty and possible lien.,SF Health Code Sec. 609.1,Owner,67
Article 11 - Nuisances,Sec. 609.2 - Fee Adjustment,Directs the Controller to review and adjust the Section 609 and 609.1 fees annually to match program costs.,N/A - Administrative fee-setting mechanism.,SF Health Code Sec. 609.2,Controller/Director,67
Article 11 - Nuisances,Sec. 610 - Attorneys' Fees Authorized,Allows the prevailing party to recover attorneys' fees in a nuisance abatement action if the Director elected to seek them.,N/A - Cost-recovery provision.,SF Health Code Sec. 610,Director/Owner,67
Article 11 - Nuisances,Sec. 613 - Operation of Gas Works Regulated,"Prohibits gas manufacturers from discharging harmful gas, tar, or refuse, or producing dangerously impure illuminating gas.",Operators must use best practices to prevent the escape of harmful odors or substances.,SF Health Code Sec. 613,Gas Works Operator,67
Article 11 - Nuisances,Sec. 614 - Vacant Lot Dedication,Authorizes the Director to notify vacant-lot owners about voluntarily dedicating their land to gardens or park space.,N/A - Voluntary program notice provision.,SF Health Code Sec. 614,Director/Owner,67
Article 11 - Nuisances,Sec. 615 - Discretionary Duties,"Clarifies that ""shall"" or ""must"" language directed at the City creates a discretionary, not mandatory, duty.",N/A - Legal interpretation provision.,SF Health Code Sec. 615,N/A,67
Article 11 - Nuisances,Sec. 616 - Disclaimer of Liability,"States the City is not liable for damages from reliance on this Article, and that inspections are discretionary.",N/A - Liability disclaimer provision.,SF Health Code Sec. 616,N/A,67
Article 11 - Nuisances,Sec. 581(a) - Public Nuisance,"No Person shall have upon any premises or real property owned, occupied or controlled by him, or her, or it any public nuisance.",Owner/Occupant must not have any public nuisance on premises.,SF Health Code Sec. 581(a),Owner/Occupant,52
Article 11 - Nuisances,Sec. 581(b)(1) - Filth & Garbage,"Any accumulation of filth, garbage, decayed or spoiled food, unsanitary debris or waste material or decaying animal or vegetable matter unless set out for collection.","Must not accumulate filth, garbage, or decaying matter unless properly set for collection.",SF Health Code Sec. 581(b)(1),Owner/Occupant,53
Article 11 - Nuisances,Sec. 581(b)(2) - Overgrowth,"Any accumulation of hay, grass, straw, weeds, or vegetation overgrowth.","Must prevent accumulation of hay, grass, weeds, and vegetation overgrowth.",SF Health Code Sec. 581(b)(2),Owner/Occupant,54
Article 11 - Nuisances,Sec. 581(b)(3) - Combustible Trash,"Any accumulation of waste paper, litter or combustible trash unless such materials are set out for collection.",Must not accumulate waste paper or combustible trash unless properly set for collection.,SF Health Code Sec. 581(b)(3),Owner/Occupant,55
Article 11 - Nuisances,Sec. 581(b)(4) - Unsanitary Buildings,"Any buildings, structures, or portion thereof found to be unsanitary.",Buildings and structures must be maintained in a sanitary condition.,SF Health Code Sec. 581(b)(4),Owner,56
Article 11 - Nuisances,Sec. 581(b)(5) - Biological Contamination,"Any matter or material which constitutes, or is contaminated by, animal or human excrement, urine or other biological fluids.",Must remove material contaminated by human or animal excrement or biological fluids.,SF Health Code Sec. 581(b)(5),Owner/Occupant,57
Article 11 - Nuisances,Sec. 581(b)(6) - Mold & Mildew,Any visible or otherwise demonstrable mold or mildew in the interiors of any buildings or facilities.,Must eliminate visible or demonstrable mold and mildew from building interiors.,SF Health Code Sec. 581(b)(6),Owner/Manager,58
Article 11 - Nuisances,Sec. 581(b)(7) - Pest Harborage,"Any pest harborage or infestation including but not limited to pigeons, skunks, raccoons, opossums, and snakes, except lawful pigeon harborages.","Must prevent pest harborage and infestations of pigeons, skunks, raccoons, opossums, snakes.",SF Health Code Sec. 581(b)(7),Owner/Occupant,59
Article 11 - Nuisances,Sec. 581(b)(8) - Noxious Insects,"Any noxious insect harborage or infestation including cockroaches, bed bugs, fleas, scabies, lice, spiders, houseflies, wasps and mosquitoes.",Must eliminate noxious insect harborages and infestations including bed bugs and roaches.,SF Health Code Sec. 581(b)(8),Owner/Occupant,60
Article 11 - Nuisances,Sec. 581(b)(9) - Unwholesome Food,"Any article of food or drink in the possession or under the control of any person which is tainted, decayed, spoiled or otherwise unwholesome.","Must not possess tainted, decayed, or unwholesome food or drink.",SF Health Code Sec. 581(b)(9),Owner/Occupant,61
Article 11 - Nuisances,Sec. 581(b)(11) - Poisonous Growth,"Any vacant lots, open spaces, and other properties... which become infested with poison oak or poison ivy shrub.",Must prevent and remove poison oak and poison ivy from vacant lots and properties.,SF Health Code Sec. 581(b)(11),Owner,62
Article 11 - Nuisances,Sec. 581(b)(12) - Article 1 Violation,Any violation of Section 37 of this Code; [Article 1].,Must comply with Section 37 limits and regulations on animals.,SF Health Code Sec. 581(b)(12),Owner/Occupant,63
Article 11 - Nuisances,Sec. 581(b)(13) - Article 2 Violation,Any violation of Section 92 of this Code; [Article 2].,Must comply with Section 92 (Rodent Control) maintaining sanitary conditions.,SF Health Code Sec. 581(b)(13),Owner/Occupant,64
Article 11 - Nuisances,Sec. 581(b)(14) - Section 590 Violation,Any violation of Section 590 of this Article.,Must comply with Section 590 requirements.,SF Health Code Sec. 581(b)(14),Owner/Manager,65
Article 11 - Nuisances,Sec. 581(b)(17) - Director's Rules,Any violations of rules or regulations the Director adopts to implement the provisions of this Article or applicable provisions of State law.,Must comply with all implementing rules and regulations adopted by the Director.,SF Health Code Sec. 581(b)(17),Owner/Responsible Party,66
Article 11 - Nuisances,Sec. 581(b)(18) - Other Threats,Anything else that the Director deems to be a threat to public health and safety.,Must abate any condition the Director deems a public health and safety threat.,SF Health Code Sec. 581(b)(18),Owner/Responsible Party,67
Article 11 - Nuisances,Sec. 609(a) - Vector Control Fee,Every owner of an apartment house or hotel... shall pay an annual fee... determined by the number of rental units.,Owner must pay the annual Vector Control and Healthy Housing Inspection Program Fee.,SF Health Code Sec. 609(a),Owner,68
Article 11 - Nuisances,Sec. 596(b) - Notice of Violation,Director shall within 15 days cause a Notice of Violation to be served either personally or by first class mailing to the Responsible Parties.,N/A - Administrative procedure for serving notice to Responsible Parties.,SF Health Code Sec. 596(b),Director/Department,69
Article 11 - Nuisances,Sec. 596(e)(1) - Abatement Time Period,The Director shall specify in the Notice of Violation the time period within which the Responsible Party must abate the nuisance. Such time period shall not exceed 30 days...,"Responsible Party must abate the nuisance within the specified time, not to exceed 30 days.",SF Health Code Sec. 596(e)(1),Responsible Party,70
Article 11 - Nuisances,Sec. 596(e)(3) - Failure to Abate,If Owner/Responsible Parties fail to comply... Director may hold a Hearing or cause abatement... Owner shall be indebted to the City for all costs.,Owner must pay all abatement costs and fees if the City must abate the nuisance.,SF Health Code Sec. 596(e)(3),Owner/Responsible Party,71
Article 11 - Nuisances,Sec. 596(e)(4) - Additional Liability,"Owner/Responsible Parties may be liable for other charges, costs, administrative costs, expenses... fines, attorneys' fees, and penalties.","Owner is liable for additional charges, fines, penalties, and attorneys' fees.",SF Health Code Sec. 596(e)(4),Owner/Responsible Party,72
Article 11 - Nuisances,Sec. 595 - Inspection of Premises,Duty of Department upon application... to cause premises to be inspected for purpose of ascertaining whether said premises are free of nuisances and sanitary.,Owner must permit inspection to verify premises are sanitary and free of nuisances.,SF Health Code Sec. 595,Department/Owner,73
Article 11 - Nuisances,Sec. 596(a) - Complaints,"Whenever a written or oral complaint is made... the Director shall inspect the building, structure or property to verify the existence of a nuisance.",N/A - Administrative mandate to inspect upon complaint.,SF Health Code Sec. 596(a),Director/Department,74
Article 11 - Nuisances,Sec. 580(a) - Definition: City,"""City"" shall mean the City and County of San Francisco.",N/A - Definition.,SF Health Code Sec. 580(a),N/A,75
Article 11 - Nuisances,Sec. 580(b) - Definition: Department,"""Department"" shall mean the San Francisco Department of Public Health.",N/A - Definition.,SF Health Code Sec. 580(b),N/A,76
Article 11 - Nuisances,Sec. 580(c) - Definition: Director,"""Director"" shall mean the Director of Public Health or his or her designee.",N/A - Definition.,SF Health Code Sec. 580(c),N/A,77
Article 11 - Nuisances,Sec. 580(d) - Definition: Manager,"""Manager"" shall mean the authorized agent for the Owner... responsible for the day-to-day operation.",N/A - Definition.,SF Health Code Sec. 580(d),N/A,78
Article 11 - Nuisances,Sec. 580(e) - Definition: Owner,"""Owner"" shall mean any Person who possesses, has title to or an interest in, harbors or has control, custody or possession...",N/A - Definition.,SF Health Code Sec. 580(e),N/A,79
Article 11 - Nuisances,Sec. 580(f) - Definition: Person,"""Person"" shall mean and include corporations, estates, associations, partnerships and trusts, individual human beings...",N/A - Definition.,SF Health Code Sec. 580(f),N/A,80
Article 11 - Nuisances,Sec. 580(h) - Definition: Responsible Party,"""Responsible Party"" shall include the Owner, Manager, tenant, or any Person having control over a property or who creates or allows a nuisance.",N/A - Definition.,SF Health Code Sec. 580(h),N/A,81
Article 11 - Nuisances,Sec. 596.5(a) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,"This section provides for administrative citations, which are an",Must comply with section provisions.,SF Health Code Sec. 596.5(a),Owner/Responsible Party,82
Article 11 - Nuisances,Sec. 596.5(b) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,"San Francisco Administrative Code Chapter 100, ""Procedures Governing",Must comply with section provisions.,SF Health Code Sec. 596.5(b),Owner/Responsible Party,83
Article 11 - Nuisances,Sec. 596.5(b(1)) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,Each day a violation is committed or permitted to continue shall,Must comply with section provisions.,SF Health Code Sec. 596.5(b(1)),Owner/Responsible Party,84
Article 11 - Nuisances,Sec. 596.5(b(2)) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,The Director of Public Health shall appoint the hearing officer to,Must comply with section provisions.,SF Health Code Sec. 596.5(b(2)),Department,85
Article 11 - Nuisances,Sec. 596.5(b(3)) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,The fine for any violation issued pursuant to this section shall be,Must comply with section provisions.,SF Health Code Sec. 596.5(b(3)),Owner/Responsible Party,86
Article 11 - Nuisances,Sec. 596.5(b(4)) - Citations Under San Francisco Administrative Code Chapter 100 Subsection,"The Director may recover any costs and fees, including but not",Must comply with section provisions.,SF Health Code Sec. 596.5(b(4)),Department,87
Article 11 - Nuisances,Sec. 599(a) - Collection Subsection,Notice of Cost and Claim of Lien.,Must comply with section provisions.,SF Health Code Sec. 599(a),Owner/Responsible Party,88
Article 11 - Nuisances,Sec. 599(a(1)) - Collection Subsection,"Upon satisfactory compliance with the Director's order, the",Must comply with section provisions.,SF Health Code Sec. 599(a(1)),Department,89
Article 11 - Nuisances,Sec. 599(a(2)) - Collection Subsection,Upon the Responsible Parties' failure to comply with the Director's,Must comply with section provisions.,SF Health Code Sec. 599(a(2)),Department,90
Article 11 - Nuisances,Sec. 599(b) - Collection Subsection,Recording of Lien. If the costs as provided for in subsection (a) of,Must comply with section provisions.,SF Health Code Sec. 599(b),Owner/Responsible Party,91
Article 11 - Nuisances,Sec. 599(c) - Collection Subsection,Collection by Bureau of Delinquent Revenue. The Director shall also,Must comply with section provisions.,SF Health Code Sec. 599(c),Department,92
Article 11 - Nuisances,Sec. 599(d) - Collection Subsection,"Release of Lien. On payment of any such claim of lien, the Director",Must comply with section provisions.,SF Health Code Sec. 599(d),Department,93
Article 11 - Nuisances,Sec. 599(e) - Collection Subsection,Continuing Appropriation Account. There is hereby created a Special,Must comply with section provisions.,SF Health Code Sec. 599(e),Owner/Responsible Party,94
Article 11 - Nuisances,Sec. 599(f) - Collection Subsection,Collection of Expenses as a Special Assessment. The Director may,Must comply with section provisions.,SF Health Code Sec. 599(f),Department,95
Article 11 - Nuisances,Sec. 599(g) - Collection Subsection,Report of Delinquencies Transmitted to Board of Supervisors. A report,Must comply with section provisions.,SF Health Code Sec. 599(g),Owner/Responsible Party,96
Article 11 - Nuisances,Sec. 599(h) - Collection Subsection,Notice of Hearing. The Board of Supervisors shall cause notice of the,Must comply with section provisions.,SF Health Code Sec. 599(h),Owner/Responsible Party,97
Article 11 - Nuisances,Sec. 599(i) - Collection Subsection,"Hearing. At the time for consideration of the report, the Board of",Must comply with section provisions.,SF Health Code Sec. 599(i),Owner/Responsible Party,98
Article 11 - Nuisances,Sec. 599(j) - Collection Subsection,Collection of Assessment. Upon confirmation of the report by the Board,Must comply with section provisions.,SF Health Code Sec. 599(j),Owner/Responsible Party,99
Article 11 - Nuisances,Sec. 599(k) - Collection Subsection,Severability. If any part or provision of this Article or application,Must comply with section provisions.,SF Health Code Sec. 599(k),Owner/Responsible Party,100
Article 11 - Nuisances,Sec. 600(a) - Penalties Subsection,Criminal Penalty. In addition to any other penalties provided in this,Must comply with section provisions.,SF Health Code Sec. 600(a),Owner/Responsible Party,101
Article 11 - Nuisances,Sec. 600(b) - Penalties Subsection,Civil Penalty.,Must comply with section provisions.,SF Health Code Sec. 600(b),Owner/Responsible Party,102
Article 11 - Nuisances,Sec. 600(b(1)) - Penalties Subsection,City Attorney Referral. The Director may refer a case to the City,Must comply with section provisions.,SF Health Code Sec. 600(b(1)),Department,103
Article 11 - Nuisances,Sec. 600(b(2)) - Penalties Subsection,Presumption of Noncompliance with Order. In addition to any other,Must comply with section provisions.,SF Health Code Sec. 600(b(2)),Owner/Responsible Party,104
Article 11 - Nuisances,Sec. 600(b(3)) - Penalties Subsection,Penalty Amounts. Any person or entity violating this Article shall,Must comply with section provisions.,SF Health Code Sec. 600(b(3)),Owner/Responsible Party,105
Article 11 - Nuisances,Sec. 600(b(4)) - Penalties Subsection,Setting Civil Penalty. In assessing the amount of the civil,Must comply with section provisions.,SF Health Code Sec. 600(b(4)),Owner/Responsible Party,106
Article 11 - Nuisances,Sec. 600(b(5)) - Penalties Subsection,Cost Recovery. In any civil proceeding filed by the City Attorney,Must comply with section provisions.,SF Health Code Sec. 600(b(5)),Owner/Responsible Party,107
Article 11 - Nuisances,Sec. 600(c) - Penalties Subsection,Administrative Penalty.,Must comply with section provisions.,SF Health Code Sec. 600(c),Owner/Responsible Party,108
Article 11 - Nuisances,Sec. 600(c(1)) - Penalties Subsection,Penalty Amounts. As an alternative to any other fines and penalties,Must comply with section provisions.,SF Health Code Sec. 600(c(1)),Owner/Responsible Party,109
Article 11 - Nuisances,Sec. 600(c(2)) - Penalties Subsection,Setting Administrative Penalty. In setting the amount of the,Must comply with section provisions.,SF Health Code Sec. 600(c(2)),Owner/Responsible Party,110
Article 11 - Nuisances,Sec. 600(c(3)) - Penalties Subsection,Cost Recovery. In any civil proceeding filed by the City Attorney,Must comply with section provisions.,SF Health Code Sec. 600(c(3)),Owner/Responsible Party,111
Article 11 - Nuisances,Sec. 600(d) - Penalties Subsection,Remedies under this,Must comply with section provisions.,SF Health Code Sec. 600(d),Owner/Responsible Party,112
Article 11 - Nuisances,Sec. 609(b) - Vector Control And Healthy Housing Inspection Program Fee Subsection,Purpose of Fee. The City may expend the proceeds of this fee only to,Must comply with section provisions.,SF Health Code Sec. 609(b),Owner/Responsible Party,113
Article 11 - Nuisances,Sec. 609(c) - Vector Control And Healthy Housing Inspection Program Fee Subsection,Responsibility for Payment. The owner is responsible for payment of,Must comply with section provisions.,SF Health Code Sec. 609(c),Owner,114
Article 11 - Nuisances,Sec. 609(d) - Vector Control And Healthy Housing Inspection Program Fee Subsection,Late payment penalty.,Must comply with section provisions.,SF Health Code Sec. 609(d),Owner/Responsible Party,115
Article 11 - Nuisances,Sec. 609(d(1)) - Vector Control And Healthy Housing Inspection Program Fee Subsection,If an owner does not pay the fee required by this Section 609,Must comply with section provisions.,SF Health Code Sec. 609(d(1)),Owner,116
Article 11 - Nuisances,Sec. 609(d(2)) - Vector Control And Healthy Housing Inspection Program Fee Subsection,"In lieu of the penalties under subsection (d)(1), for Hotel Fees",Must comply with section provisions.,SF Health Code Sec. 609(d(2)),Owner/Responsible Party,117
Article 11 - Nuisances,Sec. 609(e) - Vector Control And Healthy Housing Inspection Program Fee Subsection,Collection of Fee. In the event that the owner fails to pay any fee,Must comply with section provisions.,SF Health Code Sec. 609(e),Owner,118
Article 11 - Nuisances,Sec. 609(f) - Vector Control And Healthy Housing Inspection Program Fee Subsection,Fee Schedule.,Must comply with section provisions.,SF Health Code Sec. 609(f),Owner/Responsible Party,119
