Page ID,GitHub page_key,Section,Page Title,Karl Content Type,Repo Label,URL Slug / Path,Source File,Summary,Primary Audience,Primary Task,Primary CTA,Status,Priority,IA Notes,Scope / Review Notes,Source Basis,Last Repo Sync
GH-011,cockroachesReport,Report a problem,Report cockroaches,Transaction page,Transaction: Report cockroaches,sf.gov/report-cockroaches,pages/report-cockroaches.js,Report an active cockroach problem in San Francisco.,"Tenants, helpers, SRO/shared-area reporters, employees",Report cockroaches through 311,Report through 311,Mockup updated — refresh review,High,Core report page.,Article 11 noxious insect infestation; keep 311 action first. | Mockup sync (2026-07-04): change=Changed since main; policy=verified,GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-012,bedBugsReport,Report a problem,Report bed bugs,Transaction page,Transaction: Report bed bugs,sf.gov/report-bed-bugs,pages/report-bed-bugs.js,Report an active bed bug problem in San Francisco rental housing.,"Tenants, helpers, rental housing/SRO/residential hotel residents",Report bed bugs through 311,Report through 311,Mockup updated — refresh review,High,Core report page.,Article 11A / bed bug rules review required before publication. | Mockup sync (2026-07-04): change=Changed since main; policy=verified,GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-013,bedBugsInfo,Prevention and rules,Bed bug rules and prevention,Information page,Information: Bed bug rules and prevention,sf.gov/information/bed-bug-rules-and-prevention,pages/bed-bug-rules-prevention.js,"Learn about bed bug prevention, treatment preparation, and rules for San Francisco rental housing.","Tenants, helpers, owners, managers, building staff",Explain bed bug prevention and treatment preparation,Learn prevention and rules,In GitHub mockup,High,Support page for bed bug report flow.,Official Director’s Rules and tenant guideline sources must be checked for accessibility and currency.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-014,mosquitoesReport,Report a problem,Report mosquitoes in your home or backyard,Transaction page,Transaction: Report mosquitoes,sf.gov/report-mosquitoes-home-backyard,pages/report-mosquitoes.js,Report mosquitoes or standing water in San Francisco.,"Tenants, residents, helpers, standing-water reporters, employees",Report mosquitoes or standing water through 311,Report through 311,Mockup updated — refresh review,High,Core report page.,"Explain vector survey, standing water, and catch basin checks where appropriate. | Mockup sync (2026-07-04): change=Changed since main; policy=verified",GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-015,wnvBirdReport,Report a problem,Report a dead bird,Transaction page,Transaction: Report a dead bird,sf.gov/report-a-dead-bird,pages/report-dead-bird.js,Report a dead bird to help track West Nile virus. HHVC may collect the bird and test it for West Nile virus.,"Residents, owners, managers, neighbors, workers",Route dead bird reports for West Nile surveillance,Report a dead bird,Blocked — SME/legal review,Medium,External CDPH / WNV reporting route.,"SME review needed for collection criteria, priority species list, seasonal call-center hours, and CDPH routing. | Mockup sync (2026-07-04): SME-blocked: confirm HHVC/CDPH dead bird collection workflow and seasonal operating details",GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-016,pigeonsReport,Report a problem,Report pigeons,Transaction page,Transaction: Report pigeons,sf.gov/report-pigeons,pages/report-pigeons.js,"Report pigeon roosting, nesting, droppings, or feeding that may create a health concern.","Tenants, residents, helpers, shared-area reporters, employees",Report pigeon-related housing health concerns,Report through 311,Mockup updated — refresh review,Medium,Core report page for bird/vector nuisance concerns.,Verify HHVC scope versus referral pathways before publication. | Mockup sync (2026-07-04): change=Changed since main,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-017,garbageReport,Report a problem,Report garbage or clutter,Transaction page,Transaction: Report garbage or clutter,sf.gov/report-garbage-or-clutter,pages/report-garbage-clutter.js,"Report garbage, clutter, or animal waste that may attract pests or vectors.","Tenants, residents, helpers, shared-area reporters, employees","Report garbage, clutter, debris, or waste conditions",Report through 311,Mockup updated — refresh review,High,Core Article 11 sanitation report page.,"May need split later if clutter, animal waste, and garbage create too much scope in one page. | Mockup sync (2026-07-04): change=Changed since main",GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-018,vegetationReport,Report a problem,Report overgrown vegetation,Transaction page,Transaction: Report overgrown vegetation,sf.gov/report-overgrown-vegetation,pages/report-overgrown-vegetation.js,"Report overgrown plants, weeds, or brush that may attract or shelter pests or vectors.","Tenants, residents, helpers, shared-area reporters, employees",Report overgrown vegetation related to pests or vectors,Report through 311,Mockup updated — refresh review,Medium,Article 11 overgrowth/vector scope.,Clarify when vegetation issue is HHVC versus another city route. | Mockup sync (2026-07-04): change=Changed since main; policy=verified,GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-019,moldReport,Report a problem,Report mold from humidity or condensation,Transaction page,Transaction: Report mold from humidity or condensation,sf.gov/report-mold-humidity-condensation,pages/report-mold-humidity-condensation.js,"Report mold or moisture caused by humidity, condensation, or poor ventilation.","Tenants, helpers, SRO/residential hotel/shared-area reporters",Report mold or moisture related to humidity or condensation,Report through 311,Mockup updated — refresh review,High,Core mold/moisture report page.,Keep HHVC scope narrow; exclude plumbing leaks and DBI-routed water intrusion. | Mockup sync (2026-07-04): change=Changed since main; policy=verified,GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-020,payFee,"Tools, fees, and help",Pay your annual Healthy Housing fee for apartment buildings,Transaction page,Transaction: Pay your Healthy Housing fee,sf.gov/pay-your-annual-healthy-housing-fee-apartment-buildings,pages/pay-healthy-housing-fee.js,Pay or learn about the annual Healthy Housing program fee for San Francisco apartment buildings with 3 or more rental units.,"Owners, property managers, billing contacts",Pay or understand the Healthy Housing annual fee,Pay your fee,Ready for manager review,High,Primary owner/admin transaction.,"Verify current payment method, fee amounts, and invoice language before publication. | Mockup sync (2026-07-04): policy=verified",GitHub repo main; source page object; validation=pass; policy=verified; Phase 1,2026-07-04
GH-021,scopeInfo,Inspection scope,Learn what Healthy Housing and Vector Control can inspect,Information page,Information: Learn what HHVC can inspect,sf.gov/information/learn-what-hhvc-can-inspect,pages/hhvc-inspection-scope.js,"Check whether Environmental Health may review a pest, vector, or housing health condition.","Tenants, employees, unsure reporters, owners, managers, building staff",Help users decide whether to report to HHVC,Check inspection scope,In GitHub mockup,High,Core scope/routing page.,Must clearly distinguish HHVC from DBI and non-HHVC routes.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-022,ownerGuidance,Owner / manager resources,Integrated pest management for property owners and managers,Information page,Information: Integrated pest management for property owners and managers,sf.gov/information/integrated-pest-management-for-property-owners-and-managers,pages/integrated-pest-management-property-managers.js,"Use prevention, monitoring, and resident outreach to reduce pests in buildings. UC IPM is the primary source for templates and checklists.","Owners, managers, operators, maintenance staff, housing providers",Explain IPM practices for property management,Use IPM to prevent pests,Blocked — SME/legal review,High,Owner guidance page.,"Verify UC IPM link stability and whether SFDPH Director’s Rules citations are needed. | Mockup sync (2026-07-04): Use rodent-proof materials as enforceable concept; examples may include steel wool with sealant, hardware cloth, copper mesh, sheet metal, mortar, or concrete",GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-023,afterReport,Fix / enforcement,What happens after you report a housing or pest problem,Information page,Information: What happens after you report,sf.gov/information/what-happens-after-you-report-housing-pest-problem,pages/what-happens-after-report.js,Learn what may happen after a 311 report is sent to Environmental Health.,"Reporters, tenants, employees, owners, managers","Explain complaint routing, inspection assignment, and next steps",Learn what happens next,In GitHub mockup,High,Core after-report page.,Public-facing process explanation only; do not document internal SOP details.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-024,tenantRights,Tenant rights and help,Tenant rights when reporting housing conditions,Information page,Information: Tenant rights and reporting,sf.gov/information/tenant-rights-and-reporting-housing-conditions,pages/tenant-rights-reporting.js,Learn about tenant protections and where to get help if you are worried about retaliation.,"Tenants, helpers, SRO/residential hotel residents",Explain tenant protections and help routes,Learn about your rights,In GitHub mockup,High,Tenant support page.,Needs legal/program review for retaliation and referral language.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-025,ratsPrevent,Prevention and rules,Keep rats and mice out of your home,Information page,Information: Keep rats and mice out,sf.gov/information/keep-rats-and-mice-out-your-home,pages/keep-rats-and-mice-out.js,"Learn how to reduce food, water, shelter, and entry points that can attract rats or mice.","Tenants, residents, owners, managers, maintenance workers",Prevent rat or mouse activity,Learn prevention steps,In GitHub mockup,High,Core prevention page.,"Use IPM, exclusion, sanitation, and safe cleanup language.",GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-026,cockroachesPrevent,Prevention and rules,Prevent cockroaches,Information page,Information: Prevent cockroaches,sf.gov/information/prevent-cockroaches,pages/prevent-cockroaches.js,"Learn how to reduce food, water, and shelter that can attract cockroaches.","Tenants, residents, owners, managers, maintenance workers",Prevent cockroach activity,Learn prevention steps,In GitHub mockup,High,Core prevention page.,Use IPM and sanitation basics.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-027,mosquitoesPrevent,Prevention and rules,Prevent mosquitoes,Information page,Information: Prevent mosquitoes,sf.gov/information/prevent-mosquitoes,pages/prevent-mosquitoes.js,Learn how to remove standing water and reduce mosquito breeding around your home.,"Tenants, residents, owners, managers, maintenance workers",Prevent mosquito breeding,Remove standing water,In GitHub mockup,High,Core mosquito prevention page.,Vector-control/public-health review recommended.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
GH-028,mosquitoControl,Programs and services,Mosquito Control Program,Information page,Information: Mosquito Control Program,sf.gov/mosquito-control-program,pages/mosquito-control-program.js,"Learn about San Francisco mosquito surveillance, catch-basin treatment, and how to report standing water or unusual mosquito activity.","Residents, owners, managers, building workers",Explain mosquito program services,Learn about the program,In GitHub mockup,Medium,Program information page.,Verify phone numbers and external URLs before publication.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-029,mosquitoWorkshop,Programs and services,Free mosquito education workshop,Information page,Information: Free mosquito education workshop,sf.gov/mosquito-education-workshop,pages/mosquito-education-workshop.js,"Request a free interactive mosquito science workshop for schools, summer camps, museums, and science fairs in San Francisco.","Teachers, youth programs, museum educators, science fair organizers, community groups",Request or learn about mosquito education workshop,Request a workshop,Blocked in GitHub mockup,Medium,May become Campaign page if HHVC treats it as ongoing outreach program.,"Blocked until production form URL, intake backend, capacity, service area, and lead time are confirmed.",GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-030,raccoonInfo,Wildlife/vector information,Raccoons and housing health,Information page,Information: Raccoons and housing health,sf.gov/information/raccoons-and-housing-health,pages/raccoon-information.js,"Learn about raccoon roundworm risks, how to clean up raccoon latrines safely, and when to report housing-health conditions.","Tenants, residents, owners, managers, neighbors",Explain raccoon-related housing health risks and reporting boundaries,Learn about raccoons and housing health,Mockup updated — refresh review,Medium,Wildlife-related information page.,Wildlife trapping is outside HHVC scope; CDC/DPH protocols and Animal Care & Control routing need SME review. | Mockup sync (2026-07-04): change=Changed since main,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-031,pigeonInfo,Wildlife/vector information,Pigeons and housing health,Information page,Information: Pigeons and housing health,sf.gov/information/pigeons-and-housing-health,pages/pigeon-information.js,Learn how pigeon roosting and droppings can affect housing health and when Environmental Health may review the problem.,"Tenants, owners, managers, building workers",Explain pigeon-related housing health risks and reporting boundaries,Learn about pigeons and housing health,In GitHub mockup,Medium,Support page for pigeon report flow.,Verify HHVC scope for bird complaints versus referrals.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-032,miteInfo,Wildlife/vector information,Mites and housing health,Information page,Information: Mites and housing health,sf.gov/information/mites-and-housing-health,pages/mite-information.js,"Learn about tropical rat mites, why rodent nests must be treated before rodenticides, and how mite concerns differ from bed bugs.","Tenants, owners, managers, residents after bird or rodent activity",Explain mite concerns and rodent-control sequencing,Learn about mites and housing health,Blocked in GitHub mockup,Medium,Vector information page.,Do not provide medical diagnosis. Verify HHVC scope and PCO treatment sequencing guidance.,GitHub repo main; source page object; validation=pass; policy=not_audited,2026-07-04
GH-033,reduceMoisture,Prevention and rules,"Reduce indoor moisture, condensation, and humidity",Information page,"Information: Reduce indoor moisture, condensation, and humidity",sf.gov/information/reduce-indoor-moisture-condensation-humidity,pages/reduce-indoor-moisture.js,"Learn how to reduce moisture, condensation, and humidity that can lead to mold.","Renters, SRO/residential hotel residents, owners, managers, maintenance staff",Prevent indoor moisture conditions that can lead to mold,Reduce indoor moisture,In GitHub mockup,High,Support page for mold/humidity report flow.,Keep separate from leak/plumbing routes; do not promote third-party mold kits.,GitHub repo main; source page object; validation=pass; policy=not_audited; Phase 2,2026-07-04
